name,type,category_guess,visible_viewport,hide_viewport_flag,hide_render_flag,hide_select_flag,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
HERO_HParking_Row1_Divider_2,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.216,1,8,6,,0
HERO_HParking_Row1_Divider_3,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.217,1,8,6,,0
HERO_HParking_Row1_Divider_4,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.218,1,8,6,,0
HERO_HParking_Row1_Divider_5,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.219,1,8,6,,0
HERO_HParking_Row1_Divider_6,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.220,1,8,6,,0
HERO_HParking_Row1_Divider_7,MESH,Environment / Props,True,False,False,False,4,ENV_PARKING; HERO_H_PARKING_LAYOUT; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.221,1,8,6,,0
HERO_Underglow_FrontHiddenStrip,MESH,Lighting / Reflections,True,False,False,False,4,ENV_PARKING; HERO_CAR_UNDERGLOW; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.054,1,8,6,,0
HERO_Underglow_RearHiddenStrip,MESH,Lighting / Reflections,True,False,False,False,4,ENV_PARKING; HERO_CAR_UNDERGLOW; PARKING_PAINT_FLAT_ORIGINALS_ACTIVE; PARKING_PAINT_ORIGINALS_HIDDEN,Cube.055,1,8,6,,0
Lid.001,MESH,Unsorted / Needs Review,True,False,False,False,2,Large Trash Can; OPTIMIZATION_PREVIEW_DECIMATE_TARGETS,Mesh.017,1,21254,23160,Large Trash Can,0
No Parking Sign Board,EMPTY,Environment / Props,True,False,False,False,2,ENV_PARKING; No Parking Sign Board,,0,0,0,,1
Plane.001,MESH,Unsorted / Needs Review,True,False,False,False,2,OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; Shoes,Plane.001,1,10292,10800,Shoes,0
Plane.022,MESH,Unsorted / Needs Review,True,False,False,False,2,OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; Shoes,Plane.017,1,10292,10800,Shoes,0
SACKBOY_Hoodie_EditProxy,MESH,Clothing,True,False,False,False,3,HERO_IMPORTED_CLOTHING_CANDIDATES; OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; WARDROBE_IMPORTED,SACKBOY_Hoodie_Main_Mesh.003,1,245107,489016,,0
SACKBOY_Hoodie_Main,MESH,Clothing,False,False,True,False,3,HERO_IMPORTED_CLOTHING_CANDIDATES; OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; WARDROBE_IMPORTED,SACKBOY_Hoodie_Main_Mesh,1,257116,489064,,0
Utility Box (Photoscanned),MESH,Environment / Props,True,False,False,False,2,OPTIMIZATION_PREVIEW_DECIMATE_TARGETS; Utility Box (Photoscanned),Utility Box,1,12028,23700,,0
V2B_OverheadAmber_0,LIGHT,Lighting / Reflections,True,False,False,False,2,ENV_LIGHTING_APPROVED; V2B_LIGHTS_OVERHEAD,V2B_OverheadAmber_0_Data.001,1,0,0,,0
V2B_OverheadAmber_1,LIGHT,Lighting / Reflections,True,False,False,False,2,ENV_LIGHTING_APPROVED; V2B_LIGHTS_OVERHEAD,V2B_OverheadAmber_1_Data.001,1,0,0,,0
