name,base_name,type,category_guess,visible_viewport,hide_viewport,hide_render,hide_select,collection_count,collections,data_name,data_users,vertices,faces,parent,children_count
HERO_HParking_Row1_Divider_0,HERO_HParking_Row1_Divider_0,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.214,1,8,6,,0
HERO_HParking_Row1_Divider_1,HERO_HParking_Row1_Divider_1,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.215,1,8,6,,0
HERO_HParking_Row1_Divider_2,HERO_HParking_Row1_Divider_2,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.216,1,8,6,,0
HERO_HParking_Row1_Divider_3,HERO_HParking_Row1_Divider_3,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.217,1,8,6,,0
HERO_HParking_Row1_Divider_4,HERO_HParking_Row1_Divider_4,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.218,1,8,6,,0
HERO_HParking_Row1_Divider_5,HERO_HParking_Row1_Divider_5,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.219,1,8,6,,0
HERO_HParking_Row1_Divider_6,HERO_HParking_Row1_Divider_6,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.220,1,8,6,,0
HERO_HParking_Row1_Divider_7,HERO_HParking_Row1_Divider_7,MESH,Environment,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.221,1,8,6,,0
HERO_LampArm_0,HERO_LampArm_0,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cylinder.017,1,36,20,,0
HERO_LampArm_1,HERO_LampArm_1,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cylinder.019,1,36,20,,0
HERO_LampFixture_0,HERO_LampFixture_0,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cube.223,1,8,6,,0
HERO_LampFixture_1,HERO_LampFixture_1,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cube.225,1,8,6,,0
HERO_LampGlass_0,HERO_LampGlass_0,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cube.224,1,8,6,,0
HERO_LampGlass_1,HERO_LampGlass_1,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cube.226,1,8,6,,0
HERO_LampPole_0,HERO_LampPole_0,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cylinder.016,1,56,30,,0
HERO_LampPole_1,HERO_LampPole_1,MESH,Lighting / Reflections,True,False,False,False,1,LIGHTS_AND_REFLECTION_HELPERS,Cylinder.018,1,56,30,,0
HERO_Rooftop_HVAC_0,HERO_Rooftop_HVAC_0,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.191,1,8,6,,0
HERO_Rooftop_HVAC_1,HERO_Rooftop_HVAC_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.192,1,8,6,,0
HERO_Rooftop_HVAC_2,HERO_Rooftop_HVAC_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.193,1,8,6,,0
HERO_Rooftop_HVAC_3,HERO_Rooftop_HVAC_3,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cube.194,1,8,6,,0
HERO_Rooftop_Vent_0,HERO_Rooftop_Vent_0,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cylinder.008,1,40,22,,0
HERO_Rooftop_Vent_1,HERO_Rooftop_Vent_1,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cylinder.009,1,40,22,,0
HERO_Rooftop_Vent_2,HERO_Rooftop_Vent_2,MESH,Unsorted / Review,True,False,False,False,1,ENVIRONMENT_AND_PARKING,Cylinder.010,1,40,22,,0
