name,base_name,type,visible,hide_viewport,hide_render,hide_select,collections,data_name,data_users,vertices,faces,modifiers,bounds_world
HERO_DoubleDoor_LeftSide_1,HERO_DoubleDoor_LeftSide_1,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.174,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-4.150806, 23.752501, 0.06], ""max"": [-4.115806, 23.877501, 3.304301], ""center"": [-4.133306, 23.815001, 1.682151], ""dimensions"": [0.035, 0.125, 3.244301]}"
HERO_DoubleDoor_LeftSide_2,HERO_DoubleDoor_LeftSide_2,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.182,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [1.276767, 23.752501, 0.06], ""max"": [1.311768, 23.877501, 3.304301], ""center"": [1.294268, 23.815001, 1.682151], ""dimensions"": [0.035, 0.125, 3.244301]}"
HERO_DoubleDoor_RightSide_1,HERO_DoubleDoor_RightSide_1,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.176,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-1.311768, 23.752501, 0.06], ""max"": [-1.276767, 23.877501, 3.304301], ""center"": [-1.294268, 23.815001, 1.682151], ""dimensions"": [0.035, 0.125, 3.244301]}"
HERO_DoubleDoor_RightSide_2,HERO_DoubleDoor_RightSide_2,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.184,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [4.115806, 23.752501, 0.06], ""max"": [4.150806, 23.877501, 3.304301], ""center"": [4.133306, 23.815001, 1.682151], ""dimensions"": [0.035, 0.125, 3.244301]}"
HERO_DoubleDoor_TopFrame_1,HERO_DoubleDoor_TopFrame_1,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.177,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-4.133306, 23.747, 3.286801], ""max"": [-1.294268, 23.877001, 3.321801], ""center"": [-2.713787, 23.812, 3.304301], ""dimensions"": [2.839038, 0.130001, 0.035]}"
HERO_DoubleDoor_TopFrame_2,HERO_DoubleDoor_TopFrame_2,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.185,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [1.294268, 23.747, 3.286801], ""max"": [4.133306, 23.877001, 3.321801], ""center"": [2.713787, 23.812, 3.304301], ""dimensions"": [2.839038, 0.130001, 0.035]}"
HERO_GlassStorefront_Bay_0,HERO_GlassStorefront_Bay_0,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.112,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-10.228889, 23.852001, 0.06], ""max"": [-6.053832, 23.888, 3.931653], ""center"": [-8.14136, 23.870001, 1.995826], ""dimensions"": [4.175056, 0.035999, 3.871653]}"
HERO_GlassStorefront_Bay_1,HERO_GlassStorefront_Bay_1,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.170,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [-4.801315, 23.852001, 0.06], ""max"": [-0.626259, 23.888, 3.931653], ""center"": [-2.713787, 23.870001, 1.995826], ""dimensions"": [4.175056, 0.035999, 3.871653]}"
HERO_GlassStorefront_Bay_2,HERO_GlassStorefront_Bay_2,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.178,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [0.626259, 23.852001, 0.06], ""max"": [4.801315, 23.888, 3.931653], ""center"": [2.713787, 23.870001, 1.995826], ""dimensions"": [4.175056, 0.035999, 3.871653]}"
HERO_GlassStorefront_Bay_3,HERO_GlassStorefront_Bay_3,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.186,1,8,6,"[{""name"": ""Bevel"", ""type"": ""BEVEL"", ""show_viewport"": true, ""show_render"": true}, {""name"": ""WeightedNormals"", ""type"": ""WEIGHTED_NORMAL"", ""show_viewport"": true, ""show_render"": true}]","{""min"": [6.053832, 23.852001, 0.06], ""max"": [10.228889, 23.888, 3.931653], ""center"": [8.14136, 23.870001, 1.995826], ""dimensions"": [4.175056, 0.035999, 3.871653]}"
HERO_HParking_CenterSpine,HERO_HParking_CenterSpine,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.222,1,8,6,[],"{""min"": [-9.254709, 2.6125, 0.003], ""max"": [9.254709, 2.6875, 0.003], ""center"": [0.0, 2.65, 0.003], ""dimensions"": [18.509418, 0.075, 0.0]}"
HERO_HParking_Row0_Divider_0,HERO_HParking_Row0_Divider_0,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.206,1,8,6,[],"{""min"": [-9.29221, -0.583529, 0.003], ""max"": [-9.217209, 2.883528, 0.003], ""center"": [-9.254709, 1.15, 0.003], ""dimensions"": [0.075001, 3.467057, 0.0]}"
HERO_HParking_Row0_Divider_1,HERO_HParking_Row0_Divider_1,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.207,1,8,6,[],"{""min"": [-6.648006, -0.583529, 0.003], ""max"": [-6.573007, 2.883528, 0.003], ""center"": [-6.610507, 1.15, 0.003], ""dimensions"": [0.075, 3.467057, 0.0]}"
HERO_HParking_Row0_Divider_2,HERO_HParking_Row0_Divider_2,MESH,True,False,False,False,"[""ENVIRONMENT_AND_PARKING""]",Cube.208,1,8,6,[],"{""min"": [-4.003804, -0.583529, 0.003], ""max"": [-3.928804, 2.883528, 0.003], ""center"": [-3.966304, 1.15, 0.003], ""dimensions"": [0.075, 3.467057, 0.0]}"
