kind,name,filepath,absolute_path,exists,packed,source
IMAGE,bump_reticular_05k.jpg.004,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,False,True,FILE
IMAGE,bump_reticular_05k.jpg.005,//assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\materials\cloth-black_bb279836-2d6c-46f0-a9b6-5d19fb5b65df\textures_1k\bump_reticular_05k.jpg,False,True,FILE
IMAGE,can_base_color.002,//assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_base_color,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_base_color,False,True,FILE
IMAGE,can_base_color.003,//assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_base_color000,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_base_color000,False,True,FILE
IMAGE,can_metallic-can_roughness.001,//assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_metallic-can_roughness,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_metallic-can_roughness,False,True,FILE
IMAGE,can_normal.002,//assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_normal,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_normal,False,True,FILE
IMAGE,can_normal.003,//assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_normal000,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\large-trash-can_4077ae78-6dbc-4e86-abf3-472a5e6e9fe3\textures_1k\can_normal000,False,True,FILE
IMAGE,DG100126_diffuse_1001.png,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.004,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001003.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001003.png,False,True,FILE
IMAGE,DG100126_diffuse_1001.png.005,//assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001004.png,C:\BlenderProjects\SackboyMusicVideo\Project\blender\assets\models\apricot-pullover_b2f78781-cee0-4e35-a114-b0d71585c622\textures_2k\DG100126_diffuse_1001004.png,False,True,FILE
