object,category,modifier,type,show_viewport,show_render,target_object,vertex_group,use_deform_preserve_volume
HERO_Rooftop_HVAC_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Rooftop_HVAC_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Rooftop_HVAC_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Rooftop_HVAC_3,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Rooftop_HVAC_3,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Sidewalk_WideTop,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Sidewalk_WideTop,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_CenterMullion_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_CenterMullion_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_CenterMullion_3,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_CenterMullion_3,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_ContinuousBottomFrame,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_ContinuousBottomFrame,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_ContinuousTopFrame,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_ContinuousTopFrame,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_LeftVertical_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_LeftVertical_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_LeftVertical_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_LeftVertical_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_LeftVertical_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_LeftVertical_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_LeftVertical_3,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_LeftVertical_3,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_MidHorizontal_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_MidHorizontal_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_MidHorizontal_1,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_MidHorizontal_1,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_MidHorizontal_2,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_MidHorizontal_2,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_MidHorizontal_3,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_MidHorizontal_3,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
HERO_Storefront_RightVertical_0,ENVIRONMENT_EFFECT,Bevel,BEVEL,True,True,,,
HERO_Storefront_RightVertical_0,ENVIRONMENT_EFFECT,WeightedNormals,WEIGHTED_NORMAL,True,True,,,
