object,category,mesh,data_users,vertices,edges,polygons,boundary_edges,nonmanifold_edges,shape_key_count,active_shape_key,shape_keys,vertex_group_count,armature_modifier_count,parent,materials,hide_viewport,hide_render
Plane.003,OTHER,Plane.003,1,2285,4492,2198,190,194,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.004,OTHER,Plane.004,1,1370,2660,1292,168,168,0,,,0,0,Audi e-tron GT quattro Black,Material.002 | Plastic,False,False
Plane.005,OTHER,Plane.005,1,1268,2452,1186,176,176,0,,,0,0,Audi e-tron GT quattro Black,Material.002 | Plastic,False,False
Plane.006,OTHER,Plane.006,1,1438,2746,1310,268,268,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.007,OTHER,Plane.007,1,668,1262,596,148,148,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.008,OTHER,Plane.008,1,411,760,352,112,112,0,,,0,0,Audi e-tron GT quattro Black,Material.002 | Plastic,False,False
Plane.009,OTHER,Plane.009,1,481,917,436,106,106,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.010,OTHER,Plane.011,1,714,1336,626,180,180,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.011,OTHER,Plane.012,1,128,237,110,38,38,0,,,0,0,Audi e-tron GT quattro Black,Car paint,False,False
Plane.012,OTHER,Plane.013,1,234,439,206,54,54,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.013,OTHER,Plane.014,1,675,1296,622,122,122,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.014,OTHER,Plane.010,1,582,1103,522,124,124,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.015,OTHER,Plane.016,1,443,824,384,108,108,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.016,OTHER,Plane.019,1,116,206,92,44,44,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.017,OTHER,Plane.020,1,624,1174,552,140,140,0,,,0,0,Audi e-tron GT quattro Black,Material.002,False,False
Plane.018,OTHER,Plane.022,1,336,588,258,120,120,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.019,OTHER,Plane.023,1,320,595,276,86,86,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.020,OTHER,Plane.044,1,64,104,42,40,40,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.021,OTHER,Plane.045,1,240,414,168,132,144,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.022,CHARACTER,Plane.051,1,10292,21106,10800,836,838,0,,,0,0,Shoes,Rubber Black | Cloth Black | Cloth Black | Shoes_Metal.001 | Cloth Black | Cloth Black | Rubber Black,False,False
Plane.023,OTHER,Plane.025,1,132,256,126,0,0,0,,,0,0,No Parking Sign,no parking_Procedural Metal 01,False,False
Plane.024,OTHER,Plane.040,1,827,1547,726,216,216,0,,,0,0,Audi e-tron GT quattro Black,Glass,False,False
Plane.025,OTHER,Plane.043,1,778,1434,662,224,224,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.026,OTHER,Plane.046,1,352,660,308,88,88,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.027,OTHER,Plane.027,1,818,1555,738,160,160,0,,,0,0,Audi e-tron GT quattro Black,Underpart,False,False
Plane.028,OTHER,Plane.047,1,136,239,98,70,78,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.029,OTHER,Plane.032,1,545,1056,512,64,64,0,,,0,0,Cast iron sewer hatch,Material.004,False,False
Plane.030,OTHER,Plane.049,1,643,1202,560,176,178,0,,,0,0,Audi e-tron GT quattro Black,Plastic.001 | Material.005,False,False
Plane.031,OTHER,Plane.052,1,48,87,40,14,14,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.032,OTHER,Plane.053,1,530,992,462,136,136,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.033,OTHER,Plane.054,1,1144,2196,1052,176,176,0,,,0,0,Audi e-tron GT quattro Black,Car paint,False,False
Plane.034,OTHER,Plane.056,1,1874,3622,1752,234,234,0,,,0,0,Audi e-tron GT quattro Black,Material.002 | Plastic | Material.018,False,False
Plane.035,OTHER,Plane.066,1,266,480,218,94,94,0,,,0,0,Audi e-tron GT quattro Black,Plastic,False,False
Plane.036,OTHER,Plane.018,1,180,322,144,68,68,0,,,0,0,Audi e-tron GT quattro Black,Underpart,False,False
Plane.037,OTHER,Plane.063,1,979,1862,886,198,198,0,,,0,0,Audi e-tron GT quattro Black,Window,False,False
Plane.038,OTHER,Plane.061,1,226,414,190,68,68,0,,,0,0,Audi e-tron GT quattro Black,Window,False,False
Plane.039,OTHER,Plane.067,1,32,61,30,32,32,0,,,0,0,Audi e-tron GT quattro Black,Underpart,False,False
Plane.040,OTHER,Plane.015,1,162,288,128,64,64,0,,,0,0,Audi e-tron GT quattro Black,Window Glass Cycle,False,False
Plane.041,OTHER,Plane.021,1,68,115,48,38,38,0,,,0,0,Audi e-tron GT quattro Black,Underpart,False,False
Plane.042,OTHER,Plane.024,1,76,131,56,38,38,0,,,0,0,Audi e-tron GT quattro Black,,False,False
